大学名,学部名,学科名,学科ジャンル,所在地,倍率_2024,倍率_2023,倍率_2022
東海大学,文学部,文明学科,文学,神奈川,1,1,1
東海大学,文学部,歴史学科（日本史専攻）,歴史,神奈川,2,2.2,1
東海大学,文学部,歴史学科（西洋史専攻）,歴史,神奈川,1,1.3,1.5
東海大学,文学部,歴史学科（考古学専攻）,歴史,神奈川,2,1.5,1
東海大学,文学部,日本文学科,文学,神奈川,1,1,1.2
東海大学,文学部,英語文化コミュニケーション学科,文学/国際,神奈川,1,1.1,1.3
東海大学,文化社会学部,アジア学科,社会/国際,神奈川,1,1,1
東海大学,文化社会学部,ヨーロッパ・アメリカ学科,社会/国際,神奈川,1,1,4
東海大学,文化社会学部,北欧学科,社会/国際,神奈川,1,1,1
東海大学,文化社会学部,文芸創作学科,社会/芸術,神奈川,1,1,1
東海大学,文化社会学部,広報メディア学科,社会/情報,神奈川,1,1.2,1.6
東海大学,文化社会学部,心理・社会学科,社会/心理,神奈川,2.2,1.5,2.5
東海大学,教養学部,人間環境学科,教養,神奈川,1,1.3,1.5
東海大学,教養学部,芸術学科,教養/芸術,神奈川,1,1,1
東海大学,児童教育学部,児童教育学科,教育,神奈川,1.6,1.3,1.2
東海大学,体育学部,体育学科,体育,神奈川,1.1,1.4,1.6
東海大学,体育学部,競技スポーツ学科,体育,神奈川,1.1,1.1,1.2
東海大学,体育学部,武道学科,体育,神奈川,1,1.1,1
東海大学,体育学部,生涯スポーツ学科,体育,神奈川,1.1,1.1,1.1
東海大学,体育学部,スポーツレジャー・マネジメント学科,体育,神奈川,1.3,1,1
東海大学,健康学部,健康マネジメント学科,健康,神奈川,1,1,1
東海大学,法学部,法律学科,法学,神奈川,1,1,1
東海大学,政治経済学部,政治学科,政治,神奈川/東京,1,1,1.3
東海大学,政治経済学部,経済学科,経済,神奈川/東京,1,1.3,2.3
東海大学,経営学部,経営学科,経営,神奈川/東京,1.1,1.3,1.8
東海大学,国際学部,国際学科,国際,神奈川/東京,1,1.1,1.9
東海大学,観光学部,観光学科,観光,神奈川/東京,1,1.6,1.3
東海大学,情報通信学部,情報通信学科,情報,神奈川/東京,1,1.2,1.6
東海大学,理学部,数学科,数学,神奈川,1,2.5,1.4
東海大学,理学部,情報数理学科,数学/情報,神奈川,1,1.5,1
東海大学,理学部,物理学科,物理,神奈川,,1,1
東海大学,理学部,化学科,化学,神奈川,,1,1
東海大学,情報理工学部,情報科学科,情報,神奈川,1,1.5,1.3
東海大学,情報理工学部,コンピュータ応用工学科,情報/工学,神奈川,1,1,1
東海大学,情報理工学部,情報メディア学科,情報,神奈川,2.7,5,1
東海大学,建築都市学部,建築学科,建築,神奈川,1.2,1.2,1.2
東海大学,建築都市学部,土木工学科,建築,神奈川,1,,1
東海大学,工学部,航空宇宙学科（航空宇宙学専攻）,工学/宇宙,神奈川,,1,1.3
東海大学,工学部,機械工学科,機械,神奈川,1.5,1,1.2
東海大学,工学部,機械システム工学科,機械,神奈川,2,1,1
東海大学,工学部,電気電子工学科,電気電子,神奈川,1,1,1
東海大学,工学部,医工学科,工学,神奈川,1,1,1
東海大学,工学部,生物工学科,工学/生物,神奈川,,2,1
東海大学,工学部,応用化学科,化学,神奈川,,1,1
東海大学,医学部,看護学科,看護,神奈川,3.3,5.4,4.1
東海大学,海洋学部,海洋理工学科（海洋理工学専攻）,海洋/工学,静岡,1,1,1
東海大学,海洋学部,海洋理工学科（航海学専攻）,海洋,静岡,1,1,1.5
東海大学,海洋学部,水産学科,海洋,静岡,1.1,1.1,1
東海大学,海洋学部,海洋生物学科,海洋/生物,静岡,3.7,1.5,4.4
東海大学,人文学部,人文学科,文学/文理融合,静岡,1,1,1.1
東海大学,文理融合学部,経営学科,経営/文理融合,熊本,1,1,1
東海大学,文理融合学部,地域社会学科,社会/文理融合,熊本,1,,1
東海大学,文理融合学部,人間情報工学科,情報/文理融合,熊本,1,1,1
東海大学,農学部,農学科,農学,熊本,1,1,1
東海大学,農学部,動物科学科,農学/生物,熊本,1,1,1
東海大学,農学部,食生命科学科,農学,熊本,1,1,
東海大学,国際文化学部,地域創造学科,国際,北海道,1,1,2
東海大学,国際文化学部,国際コミュニケーション学科,国際,北海道,1,1,1
東海大学,生物学部,生物学科,生物,北海道,1,1,2
東海大学,生物学部,海洋生物科学科,生物/海洋,北海道,1.2,1,1.5